2018/06/20 09:25:44 [INFO] Scanning plugins...
2018/06/20 09:25:45 [INFO] Preparing spawn for world...
2018/06/20 09:25:45 [INFO] Preparing spawn for world: done
2018/06/20 09:25:45 [INFO] Preparing spawn for world_nether...
2018/06/20 09:25:46 [INFO] Preparing spawn for world_nether: done
2018/06/20 09:25:46 [INFO] Preparing spawn for world_the_end...
2018/06/20 09:25:47 [INFO] Preparing spawn for world_the_end: done
2018/06/20 09:25:47 [INFO] Binding server to 0.0.0.0:25565...
2018/06/20 09:25:48 [INFO] Successfully bound server to 0.0.0.0:25565.
2018/06/20 09:25:48 [INFO] Ready for connections.
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-2, z=4, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-3, z=1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=2, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-1, z=-1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-3, z=3, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=1, z=-1, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=2, z=4, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=0, z=5, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=3, z=2, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
2018/06/20 09:25:55 [WARNING] sending ChunkDataMessage(x=-3, z=0, continuous=true, primaryMask=1, data=UnpooledByteBufAllocator$InstrumentedUnpooledUnsafeHeapByteBuf(ridx: 0, widx: 6408, cap: 8192), blockEntities=[])
